,baseObject,fromUuid,memoryAddress,name,pInfo,pageNumber,pid,ppid,properties,sequence,source,startTimestampMicros,threadId,timestamp,timestampMicros,toUuid,type,url,uuid,version
0,,,,clone,,,,,,1.0,SOURCE_LINUX_AUDIT_TRACE,,1428.0,,-1.0,,EVENT_ACCEPT,,4e+15,
1,,,,,"bash,1428,ffff880009dbe220",,1428.0,1423.0,,,SOURCE_LINUX_AUDIT_TRACE,-1.0,,,,,SUBJECT_PROCESS,,1e+15,
2,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
3,,,,execve,,,,,,3.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
4,,,,,"bash,1448,ffff880009dbc4b0",,1448.0,1428.0,,,SOURCE_LINUX_AUDIT_TRACE,-1.0,,,,,SUBJECT_PROCESS,,1e+15,
5,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
6,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
7,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
8,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,client.sh,3e+15,1.0
9,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
10,,,,,"client.sh,1448,ffff880009dbc4b0",,1448.0,1428.0,,,SOURCE_LINUX_AUDIT_TRACE,-1.0,,,,,SUBJECT_PROCESS,,1e+15,
11,,,,clone,,,,,,5.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
12,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
13,,,,clone,,,,,,7.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
14,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
15,,,,clone,,,,,,9.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
16,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
17,,,,clone,,,,,,11.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
18,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
19,,,,mmap(read/write),,,,,,13.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
20,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
21,,,,mmap(read),,,,,,15.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
22,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
23,,,,read,,,,,,17.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
24,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
25,,,,mmap(read),,,,,,19.0,SOURCE_LINUX_AUDIT_TRACE,,1448.0,,-1.0,,EVENT_ACCEPT,,4e+15,
26,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
27,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
28,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
29,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/etc/ld.so.cache""",3e+15,1.0
30,,,,mmap(read),,,,,,21.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
31,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
32,,,,mmap(read),,,,,,23.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
33,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
34,,,,mmap(read),,,,,,25.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
35,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
36,,,,mmap(read),,,,,,27.0,SOURCE_LINUX_AUDIT_TRACE,,1451.0,,-1.0,,EVENT_ACCEPT,,4e+15,
37,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
38,,,,mmap(read),,,,,,29.0,SOURCE_LINUX_AUDIT_TRACE,,1450.0,,-1.0,,EVENT_ACCEPT,,4e+15,
39,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
40,,,,mmap(read),,,,,,31.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
41,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
42,,,,mmap(read),,,,,,33.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
43,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
44,,,,mmap(read),,,,,,35.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
45,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
46,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
47,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40552987427e+14,,,0.0,,,,,,,,,,,,,2e+15,
48,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
49,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
50,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
51,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libc.so.6""",3e+15,1.0
52,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
53,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libc.so.6""",3e+15,1.0
54,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
55,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
56,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
57,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
58,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40552981316e+14,,,0.0,,,,,,,,,,,,,2e+15,
59,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
60,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
61,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
62,,,,mmap(read),,,,,,37.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
63,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libc.so.6""",3e+15,1.0
64,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
65,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libc.so.6""",3e+15,1.0
66,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
67,,,,read,,,,,,39.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
68,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
69,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
