stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location
3513,HOWARD,CHICAGO AVENUE,"97,201,205,206",250,9.4,10/01/2012,Weekday,"(42.01947604, -87.67618415)"
3514,HOWARD,CLYDE,"97,201,206",113,28.5,10/01/2012,Weekday,"(42.01948337, -87.67752857)"
3515,HOWARD,CUSTER,"97,201,206",192.1,92.9,10/01/2012,Weekday,"(42.01950215, -87.68028045)"
3516,HOWARD,ELMWOOD,"97,201,206",50.5,68.6,10/01/2012,Weekday,"(42.01954976, -87.68269490)"
3517,HOWARD,RIDGE,"97,201,206",224.1,160.4,10/01/2012,Weekday,"(42.01955190, -87.68439804)"
3574,OLD ORCHARD RD,W. ENT. MARSHALL FIELDS,"54A,97,201,205",314.5,418,10/01/2012,Weekday,"(42.05944639, -87.75027039)"
3575,OLD ORCHARD RD,LAVERGNE AVE (BLOOMGDLES),"54A,97,201,205",83.9,12.2,10/01/2012,Weekday,"(42.06088900, -87.75075462)"
3629,HOWARD,RIDGE,"97,201,206",100.8,92.4,10/01/2012,Weekday,"(42.01941115, -87.68426462)"
3630,HOWARD,HOYNE,"97,201,206",52.7,58.4,10/01/2012,Weekday,"(42.01939909, -87.68307868)"
3631,HOWARD,DAMEN,"97,201,206",39.7,75.9,10/01/2012,Weekday,"(42.01936686, -87.68054061)"
3632,HOWARD,WOLCOTT,"97,201,206",10.8,54.6,10/01/2012,Weekday,"(42.01937362, -87.67774390)"
3633,HOWARD,CLARK,"97,201,206",6.4,136.3,10/01/2012,Weekday,"(42.01933862, -87.67643953)"
12636,CENTRAL STREET,BROADWAY/POPLAR,201,16,13,10/01/2012,Weekday,"(42.06421507, -87.69805281)"
12637,CENTRAL STREET,BROADWAY/POPLAR,201,2.5,7.4,10/01/2012,Weekday,"(42.06441237, -87.69795616)"
12638,CENTRAL STREET,COWPER,"201,206",21,3.8,10/01/2012,Weekday,"(42.06453020, -87.72444901)"
12639,CENTRAL STREET,GIRARD,201,36.9,88,10/01/2012,Weekday,"(42.06406521, -87.68543195)"
12640,CENTRAL STREET,GIRARD,201,89.3,14.2,10/01/2012,Weekday,"(42.06424442, -87.68546911)"
12641,CENTRAL STREET,GREEN BAY RD,"201,206",52.6,57.3,10/01/2012,Weekday,"(42.06446910, -87.69928442)"
12642,CENTRAL STREET,GREEN BAY RD,"201,206",65.2,15.2,10/01/2012,Weekday,"(42.06421654, -87.69884432)"
12643,CENTRAL STREET,PROSPECT,"201,206",1.4,19.5,10/01/2012,Weekday,"(42.06470019, -87.72546825)"
12644,CHICAGO AVENUE,DEMPSTER,"N201,205",15,11,10/01/2012,Weekday,"(42.04130718, -87.68068090)"
12645,CHICAGO AVENUE,DEMPSTER,"N201,205",9,10.7,10/01/2012,Weekday,"(42.04107650, -87.68040518)"
12647,CHICAGO AVENUE,SOUTH BLVD,"N201,205",10,53.5,10/01/2012,Weekday,"(42.02742803, -87.67834303)"
12648,CHURCH,SHERMAN,"201,205",32.4,67.4,10/01/2012,Weekday,"(42.04844119, -87.68201037)"
12650,GREENWOOD,CHICAGO,N201,0.2,0,10/01/2012,Weekday,"(42.04259618, -87.68060971)"
12655,SHERMAN,DAVIS,N201,0.5,4.1,10/01/2012,Weekday,"(42.04656401, -87.68142146)"
12656,SHERMAN,CHURCH,N201,0.7,0,10/01/2012,Weekday,"(42.04859958, -87.68198694)"
12657,SHERMAN,ELGIN ROAD,N201,0.1,0.2,10/01/2012,Weekday,"(42.05078253, -87.68185060)"
12659,SHERMAN,GROVE,N201,0,0.9,10/01/2012,Weekday,"(42.04529703, -87.68175390)"
12660,SHERMAN,GROVE,N201,0.9,0.1,10/01/2012,Weekday,"(42.04561589, -87.68201955)"
12680,CHURCH,MAPLE,"201,205",44.4,87.4,10/01/2012,Weekday,"(42.04844054, -87.68555344)"
12686,DAVIS,MAPLE,"93,201,205",94.6,38.6,10/01/2012,Weekday,"(42.04712270, -87.68474363)"
12687,DAVIS,OAK,"93,201,205",35.7,33.1,10/01/2012,Weekday,"(42.04711274, -87.68660985)"
12689,RIDGE,CHURCH,201,29.6,10.8,10/01/2012,Weekday,"(42.04838554, -87.68871332)"
12690,RIDGE,DAVIS,201,20.5,18,10/01/2012,Weekday,"(42.04697442, -87.68860459)"
12691,RIDGE,DAVIS,201,14.7,7.3,10/01/2012,Weekday,"(42.04702247, -87.68884083)"
12692,RIDGE,GROVE,201,5.9,2.1,10/01/2012,Weekday,"(42.04569721, -87.68872442)"
12693,RIDGE,GROVE,201,3.2,12.5,10/01/2012,Weekday,"(42.04554952, -87.68845752)"
12694,RIDGE,MAIN,"201,206",47.3,28.1,10/01/2012,Weekday,"(42.03386751, -87.68654287)"
12695,RIDGE,MAIN,"201,206",11.4,12.7,10/01/2012,Weekday,"(42.03408252, -87.68691502)"
12701,CENTRAL STREET,CRAWFORD,"201,206",44.9,7.1,10/01/2012,Weekday,"(42.06441722, -87.72753573)"
12702,CENTRAL STREET,CRAWFORD,"201,206",6.4,53.6,10/01/2012,Weekday,"(42.06466968, -87.72712907)"
12703,CHICAGO AVENUE,MAIN,"N201,205",25,38.8,10/01/2012,Weekday,"(42.03402607, -87.67944272)"
12705,SHERMAN,LAKE,N201,0,0.2,10/01/2012,Weekday,"(42.04396065, -87.68166255)"
12706,SHERMAN,LAKE,N201,0,0,10/01/2012,Weekday,"(42.04422924, -87.68208556)"
12708,CHURCH,BENSON,"201,205",79.4,97.2,10/01/2012,Weekday,"(42.04844811, -87.68349287)"
13148,RIDGE,HULL TERRACE,"201,206",32.5,24.3,10/01/2012,Weekday,"(42.02459156, -87.68529330)"
13149,RIDGE,HULL TERRACE,"201,206",43,31.1,10/01/2012,Weekday,"(42.02447143, -87.68504199)"
14056,CLARK,HOWARD,"22,201,205,206",176.2,60.4,10/01/2012,Weekday,"(42.01918517, -87.67632528)"
14091,CLARK,BIRCHWOOD,"22,97,201,205,206",273.6,172,10/01/2012,Weekday,"(42.01798492, -87.67580666)"
14093,PAULINA,HOWARD TERMINAL,201,355.2,776.8,10/01/2012,Weekday,"(42.01822603, -87.67279844)"
14230,CENTRAL STREET,SHERMAN,201,0,0.2,10/01/2012,Weekday,"(42.06418949, -87.68178198)"
14231,CENTRAL STREET,SHERMAN,201,0.1,1.8,10/01/2012,Weekday,"(42.06402101, -87.68183223)"
14232,CENTRAL STREET,MCDANIEL,"201,206",24.9,2.8,10/01/2012,Weekday,"(42.06424542, -87.70774260)"
14233,CENTRAL STREET,CENTRAL PARK,"201,206",32,1.9,10/01/2012,Weekday,"(42.06435561, -87.71784395)"
14234,OLD ORCHARD RD,SKOKIE BLVD,201,0.8,0.4,10/01/2012,Weekday,"(42.06259707, -87.74634447)"
14235,OLD ORCHARD RD,SKOKIE BLVD,201,0.9,11.2,10/01/2012,Weekday,"(42.06234558, -87.74682804)"
14236,CENTRAL STREET,CENTRAL PARK,"201,206",1.7,21.6,10/01/2012,Weekday,"(42.06458034, -87.71768776)"
14237,CENTRAL STREET,MCDANIEL,"201,206",2.1,20.9,10/01/2012,Weekday,"(42.06453579, -87.70751562)"
14238,SHERMAN,NOYES,N201,0,0.1,10/01/2012,Weekday,"(42.05855521, -87.68201968)"
14240,RIDGE,DEMPSTER,"201,206",26.1,18.2,10/01/2012,Weekday,"(42.04100997, -87.68807325)"
14241,RIDGE,DEMPSTER,201,2.1,10.6,10/01/2012,Weekday,"(42.04131830, -87.68857640)"
14254,RIDGE,OAKTON,"201,206",17.8,16.5,10/01/2012,Weekday,"(42.02648640, -87.68515112)"
14255,RIDGE,OAKTON,"201,206",58,40.5,10/01/2012,Weekday,"(42.02669681, -87.68556757)"
