Month,Long-Short,Long-Only
30-Nov-02,2.15%,7.41%
31-Dec-02,5.61%,9.69%
31-Jan-03,3.74%,2.28%
28-Feb-03,-1.24%,-3.30%
31-Mar-03,-1.58%,2.40%
30-Apr-03,1.54%,5.69%
31-May-03,19.08%,20.53%
30-Jun-03,5.44%,10.68%
31-Jul-03,2.60%,9.56%
31-Aug-03,-10.99%,-5.34%
30-Sep-03,20.30%,15.55%
31-Oct-03,-2.18%,7.88%
30-Nov-03,-8.76%,-6.30%
31-Dec-03,30.51%,24.13%
31-Jan-04,12.17%,14.45%
29-Feb-04,3.41%,2.64%
31-Mar-04,-2.83%,3.82%
30-Apr-04,-11.63%,-7.71%
31-May-04,4.53%,3.32%
30-Jun-04,-1.58%,-1.21%
31-Jul-04,-2.34%,-2.77%
31-Aug-04,-2.55%,-2.80%
30-Sep-04,9.62%,7.54%
31-Oct-04,5.20%,4.30%
30-Nov-04,-4.84%,2.47%
31-Dec-04,22.04%,15.93%
31-Jan-05,14.34%,4.83%
28-Feb-05,-6.18%,-4.51%
31-Mar-05,8.75%,2.53%
30-Apr-05,-5.62%,-7.53%
31-May-05,-12.10%,1.25%
30-Jun-05,-5.76%,-0.10%
31-Jul-05,5.12%,7.58%
31-Aug-05,-3.93%,-4.76%
30-Sep-05,-1.71%,-2.53%
31-Oct-05,-2.56%,-3.50%
30-Nov-05,-4.28%,0.58%
31-Dec-05,8.96%,7.84%
31-Jan-06,6.14%,8.16%
28-Feb-06,11.40%,8.70%
31-Mar-06,-0.10%,1.50%
30-Apr-06,2.83%,2.89%
31-May-06,-2.73%,-5.62%
30-Jun-06,-3.87%,-3.63%
31-Jul-06,-3.03%,-4.85%
31-Aug-06,0.06%,1.74%
30-Sep-06,-1.86%,1.29%
31-Oct-06,1.50%,6.18%
30-Nov-06,2.17%,5.70%
31-Dec-06,6.90%,6.20%
31-Jan-07,10.37%,9.36%
